"Date,Product_ID,Product_Name,Units_Sold,Price_Per_Unit,Revenue,Ending_Inventory_Count",Date,Product_ID,Product_Name,Units_Sold,Price_Per_Unit,Revenue,Ending_Inventory_Count
"2026-08-01,PROD_A,Wireless Headphones,42,89.99,3779.58,158",2026-08-01,PROD_A,Wireless Headphones,42,89.99,3779.58,158
"2026-08-01,PROD_B,Mechanical Keyboard,28,129.99,3639.72,92",2026-08-01,PROD_B,Mechanical Keyboard,28,129.99,3639.72,92
"2026-08-01,PROD_C,Ergonomic Mouse,65,49.99,3249.35,235",2026-08-01,PROD_C,Ergonomic Mouse,65,49.99,3249.35,235
"2026-08-02,PROD_A,Wireless Headphones,38,89.99,3419.62,120",2026-08-02,PROD_A,Wireless Headphones,38,89.99,3419.62,120
"2026-08-02,PROD_B,Mechanical Keyboard,31,129.99,4029.69,61",2026-08-02,PROD_B,Mechanical Keyboard,31,129.99,4029.69,61
"2026-08-02,PROD_C,Ergonomic Mouse,58,49.99,2899.42,177",2026-08-02,PROD_C,Ergonomic Mouse,58,49.99,2899.42,177
"2026-08-03,PROD_A,Wireless Headphones,55,89.99,4949.45,65",2026-08-03,PROD_A,Wireless Headphones,55,89.99,4949.45,65
"2026-08-03,PROD_B,Mechanical Keyboard,19,129.99,2469.81,42",2026-08-03,PROD_B,Mechanical Keyboard,19,129.99,2469.81,42
"2026-08-03,PROD_C,Ergonomic Mouse,72,49.99,3599.28,105",2026-08-03,PROD_C,Ergonomic Mouse,72,49.99,3599.28,105
"2026-08-04,PROD_A,Wireless Headphones,61,89.99,5489.39,204",2026-08-04,PROD_A,Wireless Headphones,61,89.99,5489.39,204
"2026-08-04,PROD_B,Mechanical Keyboard,24,129.99,3119.76,168",2026-08-04,PROD_B,Mechanical Keyboard,24,129.99,3119.76,168
"2026-08-04,PROD_C,Ergonomic Mouse,80,49.99,3999.20,225",2026-08-04,PROD_C,Ergonomic Mouse,80,49.99,3999.20,225
"2026-08-05,PROD_A,Wireless Headphones,48,89.99,4319.52,156",2026-08-05,PROD_A,Wireless Headphones,48,89.99,4319.52,156
